id,street_id,activity,task_description,status,street,start_year,stop_date_actual,route_ahead,route_back
2039696367,11388,AC Overlay 3 or more,,Completed,TRESS WAY,2009,2009-06-08,UNIVERSAL ST,VINTON ST
1433333911,3156,"AC Overlay - 2""",,Completed,SCHENLEY DR,2014,2014-08-04,FREW AVE,ROBERTO CLEMENTE DR
811596228,9995,"Mill & Overlay - 2""",,Completed,SHADY AVE,2013,2013-06-29,FIFTH AVE,KENTUCKY AVE
181771682,11024,AC Overlay 3 or more,,Completed,CHESBRO ST,2011,2011-10-10,S CANAL ST,CARPENTER WAY
1616081260,63,AC Overlay 3 or more,,Completed,CLAUDE WAY,2011,2011-10-10,WINHURST ST,CHELLIS ST
369600447,3745,Mill & Overlay 3 or More,,Completed,W WOODFORD AVE,2012,2012-07-09,MT JOSEPH ST,OAKHURST WAY
91706080,16455,AC Overlay 3 or more,,Completed,GILMARTIN ST,2013,2013-10-10,PLYMOUTH ST,ONEIDA ST
719369344,6220,"Mill & Overlay - 2""",,Completed,WATSON ST,2012,2012-05-31,MARION ST,PRIDE ST
1646744924,18846,"Mill & Overlay - 2""",,Completed,CALIFORNIA AVE,2013,2013-05-07,ANTRIM ST,HYBLA ST
1885496730,4279,Mill & Overlay 3 or More,,Completed,BREINING ST,2013,2013-06-03,OAKRIDGE ST,CLIPPERT WAY
181070531,977,Mill & Overlay 3 or More,,Completed,BRANDON RD,2013,2013-06-10,PERROTT ST,SHOREHAM ST
166451222,3552,AC Overlay 3 or more,,Completed,GUERDON WAY,2013,2013-05-29,LAURIA WAY,VIRGINIA AVE
1929597392,9995,Mill & Overlay 3 or More,,Completed,SHADY AVE,2014,2014-09-01,FIFTH AVE,KENTUCKY AVE
2368424,10572,AC Overlay 3 or more,,Completed,NORTHVIEW ST,2012,2012-10-10,ORKNEY WAY,STROMBERG ST
1233615802,13324,"Mill & Overlay - 2""",,Completed,OAKRIDGE ST,2012,2012-11-20,BERKSHIRE AVE,HAREX WAY
1649239369,17887,Mill & Overlay 3 or More,,Completed,EDWARDS WAY,2010,2010-09-08,S 18TH ST,S 17TH ST
458628791,7299,AC Overlay 3 or more,,Completed,COPPERFIELD AVE,2009,2009-07-21,OAKHURST WAY,WESTMONT AVE
1283655987,16683,Mill & Overlay 3 or More,,Completed,CHARTIERS AVE,2013,2013-05-29,NITTANY ST,AZALIA ST
464206944,3313,Mill & Overlay 3 or More,,Completed,PENN AVE,2013,2013-09-27,12TH ST,ELEVENTH ST
1771751794,7506,AC Overlay 3 or more,,Completed,DABNEY WAY,2010,2010-10-10,WINTERHILL ST,ALVENA WAY
1132190108,4715,Mill & Overlay 3 or More,,Completed,BISCAYNE DR,2011,2011-08-11,MAYTIDE ST,VALERA ST
320686549,4155,Mill & Overlay 3 or More,,Completed,N EUCLID AVE,2015,2015-04-29,CALLOWHILL ST,IONIC WAY
426332323,5100,AC Overlay 3 or more,,Completed,SUFFOLK ST,2012,2012-05-31,PEEKSKILL ST,HAZELTON ST
1490239103,16602,Mill & Overlay 3 or More,,Completed,LILAC ST,2012,2012-04-20,LUDWICK ST,TIMBERLINE CT
